,N,Estação,Latitude,Longitude,Cota (m),X,Y,geometry,Arquivo
0,1,Vidigal,-22.9925,-43.23306,85,"681138,532","7456241,298",POINT (-22.9925 -43.23306),vidigal
1,2,Urca,-22.95583,-43.16667,90,"688004,213","7460236,157",POINT (-22.95583 -43.16667),urca
2,3,Rocinha,-22.98583,-43.245,160,"679831,802","7457041,035",POINT (-22.98583 -43.245),rocinha
3,4,Tijuca,-22.93194,-43.22167,340,"682358,108","7462941,416",POINT (-22.93194 -43.22167),tijuca
4,5,Santa Teresa,-22.93167,-43.19639,170,"684951,792","7462971,838",POINT (-22.93167 -43.19639),santa_teresa
5,6,Copacabana,-22.98639,-43.18944,90,"685675,03","7456902,449",POINT (-22.98639 -43.18944),copacabana
6,7,Grajaú,-22.92222,-43.2675,80,"677639,269","7463809,403",POINT (-22.92222 -43.2675),grajau
7,8,Ilha do Governador,-22.81806,-43.21028,0,"683708,659","7475959,609",POINT (-22.81806 -43.21028),ilha_do_governador
8,9,Penha,-22.84444,-43.27528,111,"677059,917","7472757,104",POINT (-22.84444 -43.27528),penha
9,10,Madureira,-22.87333,-43.33889,45,"670409,679","7469665,02",POINT (-22.87333 -43.33889),madureira
10,11,Irajá,-22.82694,-43.33694,20,"670692,602","7474733,927",POINT (-22.82694 -43.33694),iraja
11,12,Bangu,-22.88028,-43.46583,15,"657403,761","7468956,662",POINT (-22.88028 -43.46583),bangu
12,13,Piedade,-22.89182,-43.31005,50,"673344,642","7467452,646",POINT (-22.89182 -43.31005),piedade
13,14,Jacarepaguá/Tanque,-22.9125,-43.36472,73,"667541,219","7465482,186",POINT (-22.9125 -43.36472),tanque
14,15,Saúde,-22.89606,-43.18786,15,"685875,072","7466833,239",POINT (-22.89606 -43.18786),saude
15,16,Jardim Botânico,-22.97278,-43.22389,0,"682133,53","7458453,116",POINT (-22.97278 -43.22389),jardim_botanico
16,17,Barra/Barrinha,-23.00849,-43.29965,7,"674262,081","7454520,709",POINT (-23.00849 -43.29965),barrinha
17,18,Jacarepaguá/Cidade de Deus,-22.94556,-43.36278,15,"667928,198","7461632,847",POINT (-22.94556 -43.36278),cidade_de_deus
18,19,Barra/Riocentro,-22.97721,-43.39155,0,"664879,4",7458100,POINT (-22.97721 -43.39155),riocentro
19,20,Guaratiba,-23.05028,-43.59472,0,"643972,241","7450214,26",POINT (-23.05028 -43.59472),guaratiba
20,21,Est. Grajaú/Jacarepaguá,-22.92556,-43.31583,105,"672722,551","7463726,025",POINT (-22.92556 -43.31583),grajau_jacarepagua
21,22,Santa Cruz,-22.90944,-43.68444,15,"634915,936","7465594,315",POINT (-22.90944 -43.68444),santa_cruz
22,23,Grande Méier,-22.89056,-43.27806,25,"676628,743","7467665,546",POINT (-22.89056 -43.27806),grande_meier
23,24,Anchieta,-22.82694,-43.40333,50,"663886,431","7474809,856",POINT (-22.82694 -43.40333),anchieta
24,25,Grota Funda,-23.01444,-43.52139,11,"651526,394","7454108,412",POINT (-23.01444 -43.52139),grota_funda
25,26,Campo Grande,-22.90361,-43.56194,30,"647538,728","7466493,819",POINT (-22.90361 -43.56194),campo_grande
26,27,Sepetiba,-22.96889,-43.71167,62,"632068,601","7459406,612",POINT (-22.96889 -43.71167),sepetiba
27,28,Alto da Boa Vista,-22.96583,-43.27833,355,"676494,085","7459222,483",POINT (-22.96583 -43.27833),alto_da_boa_vista
28,29,Av. Brasil/Mendanha,-22.85694,-43.54111,30,"649669,378","7471561,078",POINT (-22.85694 -43.54111),av_brasil_mendanha
29,30,Recreio dos Bandeirantes,-23.01,-43.44056,10,"659816,802","7454514,151",POINT (-23.01 -43.44056),recreio
30,31,Laranjeiras,-22.94056,-43.1875,60,"685883,625","7462252,656",POINT (-22.94056 -43.1875),laranjeiras
31,32,São Cristóvão,-22.89667,-43.22167,25,"682404,96","7466817,174",POINT (-22.89667 -43.22167),sao_cristovao
32,33,Tijuca/Muda,-22.93278,-43.24333,31,"680136,137","7462851,843",POINT (-22.93278 -43.24333),tijuca_muda
